instance_name,original_split,official_group,evaluation_stratum
30n20b8.mps.gz,train,,training_ungrouped
50v-10.mps.gz,train,,training_ungrouped
air05.mps.gz,train,air,training_grouped
app1-2.mps.gz,train,app,training_grouped
assign1-5-8.mps.gz,train,assign1,training_grouped
atlanta-ip.mps.gz,train,,training_ungrouped
bab6.mps.gz,train,bab,training_grouped
binkar10_1.mps.gz,train,,training_ungrouped
blp-ic98.mps.gz,train,blp,training_grouped
bnatt500.mps.gz,train,bnatt,training_grouped
bppc4-08.mps.gz,train,bppc,training_grouped
brazil3.mps.gz,train,timetabling,training_grouped
buildingenergy.mps.gz,train,,training_ungrouped
cbs-cta.mps.gz,train,cta,training_grouped
chromaticindex1024-7.mps.gz,train,chromaticindex,training_grouped
chromaticindex512-7.mps.gz,train,chromaticindex,training_grouped
cmflsp50-24-8-8.mps.gz,train,cmflsp,training_grouped
co-100.mps.gz,train,,training_ungrouped
cod105.mps.gz,train,,training_ungrouped
comp07-2idx.mps.gz,train,coursetimetabling,training_grouped
comp21-2idx.mps.gz,train,coursetimetabling,training_grouped
cost266-UUE.mps.gz,train,network_design,training_grouped
cryptanalysiskb128n5obj16.mps.gz,train,cryptanalysis,training_grouped
csched008.mps.gz,train,csched,training_grouped
cvs16r128-89.mps.gz,train,cvs,training_grouped
dano3_3.mps.gz,train,dano,training_grouped
decomp2.mps.gz,train,,training_ungrouped
dws008-01.mps.gz,train,dws,training_grouped
eil33-2.mps.gz,train,eil,training_grouped
eilA101-2.mps.gz,train,eil,training_grouped
ex10.mps.gz,train,,training_ungrouped
exp-1-500-5-5.mps.gz,train,exp_and_fc,training_grouped
fast0507.mps.gz,train,,training_ungrouped
fastxgemm-n2r6s0t2.mps.gz,train,fastxgemm,training_grouped
fhnw-binpack4-4.mps.gz,train,binpack,training_grouped
fhnw-binpack4-48.mps.gz,train,binpack,training_grouped
fiball.mps.gz,train,,training_ungrouped
gen-ip002.mps.gz,train,generated,training_grouped
gen-ip054.mps.gz,train,generated,training_grouped
germanrr.mps.gz,train,,training_ungrouped
gfd-schedulen180f7d50m30k18.mps.gz,train,gfd-schedule,training_grouped
glass4.mps.gz,train,,training_ungrouped
gmu-35-50.mps.gz,train,gmu,training_grouped
h80x6320d.mps.gz,train,fixed-cost-network-flow,training_grouped
highschool1-aigio.mps.gz,train,timetabling,training_grouped
hypothyroid-k1.mps.gz,train,hypothyroid,training_grouped
ic97_potential.mps.gz,train,,training_ungrouped
icir97_tension.mps.gz,train,,training_ungrouped
istanbul-no-cutoff.mps.gz,train,,training_ungrouped
k1mushroom.mps.gz,train,k1mushroom,training_grouped
lectsched-5-obj.mps.gz,train,lectsched,training_grouped
leo1.mps.gz,train,,training_ungrouped
leo2.mps.gz,train,,training_ungrouped
lotsize.mps.gz,train,,training_ungrouped
map10.mps.gz,train,map,training_grouped
markshare_4_0.mps.gz,train,markshare,training_grouped
mas74.mps.gz,train,,training_ungrouped
mas76.mps.gz,train,,training_ungrouped
mc11.mps.gz,train,mc,training_grouped
mcsched.mps.gz,train,,training_ungrouped
mik-250-20-75-4.mps.gz,train,mik_250,training_grouped
milo-v12-6-r2-40-1.mps.gz,train,milo,training_grouped
momentum1.mps.gz,train,momentum,training_grouped
mushroom-best.mps.gz,train,ustun,training_grouped
mzzv11.mps.gz,train,,training_ungrouped
n2seq36q.mps.gz,train,nseq,training_grouped
n3div36.mps.gz,train,nseq,training_grouped
neos-1122047.mps.gz,train,neos-pseudoapplication-46,training_grouped
neos-1171448.mps.gz,train,neos-pseudoapplication-8,training_grouped
neos-1171737.mps.gz,train,neos-pseudoapplication-80,training_grouped
neos-1354092.mps.gz,train,neos-pseudoapplication-47,training_grouped
neos-1582420.mps.gz,train,neos-pseudoapplication-10,training_grouped
neos-2075418-temuka.mps.gz,train,neos-pseudoapplication-62,training_grouped
neos-2657525-crna.mps.gz,train,neos-pseudoapplication-7,training_grouped
neos-2746589-doon.mps.gz,train,neos-pseudoapplication-52,training_grouped
neos-2978193-inde.mps.gz,train,neos-pseudoapplication-5,training_grouped
neos-2987310-joes.mps.gz,train,neos-pseudoapplication-82,training_grouped
neos-3004026-krka.mps.gz,train,neos-pseudoapplication-38,training_grouped
neos-3024952-loue.mps.gz,train,neos-pseudoapplication-86,training_grouped
neos-3046615-murg.mps.gz,train,neos-pseudoapplication-90,training_grouped
neos-3555904-turama.mps.gz,train,neos-pseudoapplication-81,training_grouped
neos-3627168-kasai.mps.gz,train,neos-pseudoapplication-25,training_grouped
neos-3656078-kumeu.mps.gz,train,neos-pseudoapplication-44,training_grouped
neos-3754480-nidda.mps.gz,train,neos-pseudoapplication-107,training_grouped
neos-4300652-rahue.mps.gz,train,neos-pseudoapplication-13,training_grouped
neos-4387871-tavua.mps.gz,train,neos-pseudoapplication-58,training_grouped
neos-4413714-turia.mps.gz,train,neos-pseudoapplication-67,training_grouped
neos-4532248-waihi.mps.gz,train,neos-pseudoapplication-6,training_grouped
neos-4722843-widden.mps.gz,train,neos-pseudoapplication-30,training_grouped
neos-4954672-berkel.mps.gz,train,neos-pseudoapplication-43,training_grouped
neos-5049753-cuanza.mps.gz,train,neos-pseudoapplication-85,training_grouped
neos-5052403-cygnet.mps.gz,train,neos-pseudoapplication-100,training_grouped
neos-5093327-huahum.mps.gz,train,neos-pseudoapplication-17,training_grouped
neos-5104907-jarama.mps.gz,train,neos-pseudoapplication-24,training_grouped
neos-5107597-kakapo.mps.gz,train,neos-pseudoapplication-54,training_grouped
neos-5188808-nattai.mps.gz,train,neos-pseudoapplication-98,training_grouped
neos-5195221-niemur.mps.gz,train,neos-pseudoapplication-32,training_grouped
neos-631710.mps.gz,train,neos-pseudoapplication-75,training_grouped
neos-662469.mps.gz,train,neos-pseudoapplication-73,training_grouped
neos-787933.mps.gz,train,neos-pseudoapplication-36,training_grouped
neos-848589.mps.gz,train,neos-pseudoapplication-77,training_grouped
neos-911970.mps.gz,train,neos-pseudoapplication-70,training_grouped
neos-960392.mps.gz,train,neos-pseudoapplication-94,training_grouped
neos5.mps.gz,train,neos-pseudoapplication-21,training_grouped
neos8.mps.gz,train,neos-pseudoapplication-15,training_grouped
neos859080.mps.gz,train,neos-pseudoapplication-96,training_grouped
net12.mps.gz,train,,training_ungrouped
netdiversion.mps.gz,train,,training_ungrouped
nexp-150-20-8-5.mps.gz,train,exp_and_fc,training_grouped
ns1116954.mps.gz,train,neos-pseudoapplication-51,training_grouped
ns1208400.mps.gz,train,neos-pseudoapplication-108,training_grouped
ns1830653.mps.gz,train,neos-pseudoapplication-110,training_grouped
ns1952667.mps.gz,train,neos-pseudoapplication-78,training_grouped
nu25-pr12.mps.gz,train,nus-prxy,training_grouped
nursesched-sprint02.mps.gz,train,nursescheduling,training_grouped
opm2-z10-s4.mps.gz,train,opm2,training_grouped
peg-solitaire-a3.mps.gz,train,pegsolitaire,training_grouped
pg5_34.mps.gz,train,,training_ungrouped
physiciansched6-2.mps.gz,train,physiciansched,training_grouped
piperout-08.mps.gz,train,piperout,training_grouped
piperout-27.mps.gz,train,piperout,training_grouped
pk1.mps.gz,train,,training_ungrouped
proteindesign121hz512p9.mps.gz,train,proteindesign,training_grouped
proteindesign122trx11p8.mps.gz,train,proteindesign,training_grouped
qap10.mps.gz,train,,training_ungrouped
radiationm40-10-02.mps.gz,train,radiation,training_grouped
rail507.mps.gz,train,,training_ungrouped
ran14x18-disj-8.mps.gz,train,ran,training_grouped
rd-rplusc-21.mps.gz,train,,training_ungrouped
reblock115.mps.gz,train,reblock,training_grouped
rmatr100-p10.mps.gz,train,rmatr,training_grouped
rococoB10-011000.mps.gz,train,rococo,training_grouped
roi2alpha3n4.mps.gz,train,,training_ungrouped
roll3000.mps.gz,train,,training_ungrouped
s250r10.mps.gz,train,Spinoza,training_grouped
satellites2-40.mps.gz,train,satellites,training_grouped
satellites2-60-fs.mps.gz,train,satellites,training_grouped
savsched1.mps.gz,train,,training_ungrouped
sct2.mps.gz,train,sct,training_grouped
seymour.mps.gz,train,,training_ungrouped
sing326.mps.gz,train,sing,training_grouped
snp-02-004-104.mps.gz,train,supplynetworkplanning,training_grouped
sp97ar.mps.gz,train,sp9,training_grouped
splice1k1.mps.gz,train,splice,training_grouped
supportcase12.mps.gz,train,,training_ungrouped
supportcase18.mps.gz,train,,training_ungrouped
supportcase19.mps.gz,train,,training_ungrouped
supportcase26.mps.gz,train,,training_ungrouped
supportcase40.mps.gz,train,,training_ungrouped
supportcase42.mps.gz,train,,training_ungrouped
supportcase6.mps.gz,train,,training_ungrouped
swath1.mps.gz,train,swath,training_grouped
swath3.mps.gz,train,swath,training_grouped
tbfp-network.mps.gz,train,,training_ungrouped
thor50dday.mps.gz,train,,training_ungrouped
tr12-30.mps.gz,train,,training_ungrouped
traininstance2.mps.gz,train,traininstance,training_grouped
traininstance6.mps.gz,train,traininstance,training_grouped
trento1.mps.gz,train,,training_ungrouped
triptim1.mps.gz,train,triptim,training_grouped
uccase12.mps.gz,train,uccase,training_grouped
unitcal_7.mps.gz,train,,training_ungrouped
var-smallemery-m6j6.mps.gz,train,,training_ungrouped
CMS750_4.mps.gz,val,,officially_ungrouped
app1-1.mps.gz,val,app,seen_family
b1c1s1.mps.gz,val,c1s1,unseen_family
beasleyC3.mps.gz,val,beasley,unseen_family
blp-ar98.mps.gz,val,blp,seen_family
bnatt400.mps.gz,val,bnatt,seen_family
drayage-100-23.mps.gz,val,drayage,unseen_family
drayage-25-23.mps.gz,val,drayage,unseen_family
enlight_hard.mps.gz,val,enlight,unseen_family
ex9.mps.gz,val,,officially_ungrouped
glass-sc.mps.gz,val,maxfeassub,unseen_family
gmu-35-40.mps.gz,val,gmu,seen_family
graphdraw-domain.mps.gz,val,graphdraw,unseen_family
irish-electricity.mps.gz,val,,officially_ungrouped
neos-1456979.mps.gz,val,neos-pseudoapplication-102,unseen_family
neos-3216931-puriri.mps.gz,val,neos-pseudoapplication-56,unseen_family
neos-3381206-awhea.mps.gz,val,neos-pseudoapplication-105,unseen_family
