instance_name,status,submitter,group,tags,variables,binaries,integers,continuous,constraints,nonzeros
50v-10.mps.gz,easy,Serge Bisaillon,,,2013,1464,183,366,233,2745
drayage-25-27.mps.gz,easy,F. Jordan Srour,drayage,,11090,11025,0,65,4630,41550
drayage-25-32.mps.gz,easy,F. Jordan Srour,drayage,,11090,11025,0,65,4630,41550
drayage-100-12.mps.gz,easy,F. Jordan Srour,drayage,,11090,11025,0,65,4630,41550
drayage-25-23.mps.gz,easy,F. Jordan Srour,drayage,,11090,11025,0,65,4630,41550
drayage-100-23.mps.gz,easy,F. Jordan Srour,drayage,,11090,11025,0,65,4630,41550
tokyometro.mps.gz,open,Hsiang-Yun WU,,,4537,2496,2041,0,7719,26958
ns1905797.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-102,,18192,17676,4,512,51884,239700
savsched1.mps.gz,easy,Gerardo Gonzalez,,,328575,252731,0,75844,295989,1770510
neos-933638.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-34,,32417,28637,0,3780,13658,187173
sct1.mps.gz,open,Siemens,sct,,22886,10312,0,12574,12154,105571
ofi.mps.gz,easy,Luigi Poderico,,,420434,29705,0,390729,422587,1775810
reblock115.mps.gz,easy,Andreas Bley,reblock,,1150,1150,0,0,4735,13724
minutedispatchstrategy.mps.gz,open,Mark Husted,,,41761,20156,0,21605,80194,239480
ran14x18-disj-8.mps.gz,easy,J. Aronson,ran,,504,252,0,252,447,10277
ex1010-pi.mps.gz,open,M. Winkler,,,25200,25200,0,0,1468,102114
neos-941313.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-81,,167910,167910,0,0,13189,484080
roi2alpha3n4.mps.gz,easy,Domenico Salvagnin,,,6816,6642,0,174,1251,878812
d20200.mps.gz,open,COR@L test set,,,4000,4000,0,0,1502,189389
cvs16r89-60.mps.gz,easy,Michael Bastubbe,cvs,,2384,2384,0,0,3068,8368
in.mps.gz,hard,Armin Fuegenschuh,,,1449074,1489,0,1447585,1526202,6811640
ns1631475.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-75,,22696,22470,211,15,24496,116733
noswot.mps.gz,easy,"J. Gregory, L. Schrage",,,128,75,25,28,182,735
leo2.mps.gz,easy,COR@L test set,,,11100,11099,0,1,593,219959
wnq-n100-mw99-14.mps.gz,easy,M. Winkler,,,10000,10000,0,0,656900,1333400
s55.mps.gz,easy,Daniel Espinoza,Spinoza,,78141,78137,0,4,9892,317902
lectsched-1.mps.gz,easy,Harald Schilly,lectsched,,28718,28236,482,0,50108,310792
gasprod1-3.mps.gz,easy,Andrew Stamps,gasprod,,10752,3717,0,7035,27169,200463
gasprod1-2.mps.gz,easy,Andrew Stamps,gasprod,,10752,3716,0,7036,27169,200460
gasprod1-1.mps.gz,open,Andrew Stamps,gasprod,,10920,4053,0,6867,27695,201348
academictimetablesmall.mps.gz,easy,Joshua Friedman,,,28926,28926,0,0,23294,268350
academictimetablebig.mps.gz,hard,Joshua Friedman,,,168974,168974,0,0,167661,1545380
rmatr100-p5.mps.gz,easy,Dmitry Krushinsky,rmatr,,8784,100,0,8684,8685,26152
supportcase29.mps.gz,infeasible,Domenico Salvagnin,,infeasible,12050,12050,0,0,12441,96050
