instance_name,status,vars,bin_vars,int_vars,cont_vars,constr,nonzeroes,tags
50v-10.mps.gz,easy,2013,1464,183,366,233,2745,benchmark decomposition benchmark_suitable mixed_binary general_linear
drayage-25-23.mps.gz,easy,11090,11025,0,65,4630,41550,benchmark benchmark_suitable precedence set_partitioning mixed_binary
drayage-100-23.mps.gz,easy,11090,11025,0,65,4630,41550,benchmark benchmark_suitable precedence set_partitioning mixed_binary
savsched1.mps.gz,easy,328575,252731,0,75844,295989,1770507,benchmark benchmark_suitable aggregations variable_bound set_packing invariant_knapsack mixed_binary
reblock115.mps.gz,easy,1150,1150,0,0,4735,13724,benchmark binary benchmark_suitable precedence knapsack
ran14x18-disj-8.mps.gz,easy,504,252,0,252,447,10277,benchmark benchmark_suitable variable_bound set_covering mixed_binary
roi2alpha3n4.mps.gz,easy,6816,6642,0,174,1251,878812,benchmark benchmark_suitable variable_bound cardinality binpacking mixed_binary
leo2.mps.gz,easy,11100,11099,0,1,593,219959,benchmark benchmark_suitable variable_bound set_packing set_covering mixed_binary
academictimetablesmall.mps.gz,easy,28926,28926,0,0,23294,268350,benchmark binary decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack binpacking knapsack
bab6.mps.gz,easy,114240,114240,0,0,29904,1283181,benchmark binary benchmark_suitable aggregations precedence set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary
gen-ip002.mps.gz,easy,41,0,41,0,24,922,benchmark benchmark_suitable general_linear
gen-ip054.mps.gz,easy,30,0,30,0,27,532,benchmark benchmark_suitable variable_bound general_linear
comp21-2idx.mps.gz,easy,10863,10792,71,0,14038,57301,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear
comp07-2idx.mps.gz,easy,17264,17155,109,0,21235,86577,benchmark decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear
map16715-04.mps.gz,easy,164547,146,0,164401,328818,549920,benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary
ic97_potential.mps.gz,easy,728,450,73,205,1046,3138,benchmark benchmark_suitable precedence mixed_binary general_linear
roi5alpha10n8.mps.gz,easy,106150,105950,0,200,4665,2370224,benchmark decomposition benchmark_suitable variable_bound cardinality binpacking mixed_binary
neos-1122047.mps.gz,easy,5100,100,0,5000,57791,163640,benchmark benchmark_suitable precedence variable_bound mixed_binary
pk1.mps.gz,easy,86,55,0,31,45,915,benchmark benchmark_suitable precedence mixed_binary
n5-3.mps.gz,easy,2550,0,150,2400,1062,9900,benchmark decomposition benchmark_suitable aggregations mixed_binary general_linear
fiball.mps.gz,easy,34219,33960,258,1,3707,104792,benchmark decomposition benchmark_suitable aggregations precedence set_partitioning general_linear
CMS750_4.mps.gz,easy,11697,7196,0,4501,16381,44903,benchmark benchmark_suitable precedence invariant_knapsack mixed_binary
neos859080.mps.gz,easy,160,80,80,0,164,1280,benchmark infeasible benchmark_suitable variable_bound general_linear
neos-787933.mps.gz,easy,236376,236376,0,0,1897,298320,benchmark binary decomposition benchmark_suitable binpacking mixed_binary
air05.mps.gz,easy,7195,7195,0,0,426,52121,benchmark binary benchmark_suitable set_partitioning
blp-ic98.mps.gz,easy,13640,13550,0,90,717,191947,benchmark decomposition benchmark_suitable set_packing mixed_binary general_linear
mzzv42z.mps.gz,easy,11717,11482,235,0,10460,151261,benchmark benchmark_suitable precedence variable_bound set_partitioning set_packing cardinality general_linear
nu25-pr12.mps.gz,easy,5868,5832,36,0,2313,17712,benchmark decomposition benchmark_suitable aggregations variable_bound cardinality general_linear
neos-911970.mps.gz,easy,888,840,0,48,107,3408,benchmark benchmark_suitable set_partitioning set_covering mixed_binary
irp.mps.gz,easy,20315,20315,0,0,39,98254,benchmark binary benchmark_suitable set_partitioning
seymour1.mps.gz,easy,1372,451,0,921,4944,33549,benchmark benchmark_suitable variable_bound set_covering mixed_binary
h80x6320d.mps.gz,easy,12640,6320,0,6320,6558,31521,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_packing mixed_binary
neos-848589.mps.gz,easy,550539,747,0,549792,1484,1101078,benchmark benchmark_suitable cardinality mixed_binary
neos-1456979.mps.gz,easy,4605,4245,180,180,6770,36440,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_packing cardinality knapsack mixed_binary general_linear
p200x1188c.mps.gz,easy,2376,1188,0,1188,1388,4752,benchmark decomposition benchmark_suitable variable_bound mixed_binary
b1c1s1.mps.gz,easy,3872,288,0,3584,3904,11408,benchmark benchmark_suitable aggregations variable_bound mixed_binary
mas74.mps.gz,easy,151,150,0,1,13,1706,benchmark benchmark_suitable invariant_knapsack mixed_binary
nexp-150-20-8-5.mps.gz,easy,20115,17880,0,2235,4620,42465,benchmark benchmark_suitable set_packing mixed_binary
rd-rplusc-21.mps.gz,easy,622,457,0,165,125899,852384,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary
exp-1-500-5-5.mps.gz,easy,990,250,0,740,550,1980,benchmark benchmark_suitable variable_bound set_packing mixed_binary
markshare_4_0.mps.gz,easy,34,30,0,4,4,123,benchmark benchmark_suitable integer_knapsack general_linear
qap10.mps.gz,easy,4150,4150,0,0,1820,18200,benchmark binary benchmark_suitable set_partitioning
